都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
130001,1322500013,東京都,稲城市,稲城ステーション眼科,イナギステーションガンカ,無床診療所,東京都稲城市東長沼3107-4,,35.636460,139.500498,(042)378-8855,,,,,1315121025,月火水木金土,09:00,18:00,水曜午後・日曜・祝日は休診,,眼科,0,https://www.staganka.com/,
130001,1322500014,東京都,稲城市,稲城長沼眼科,イナギナガヌマガンカ,無床診療所,東京都稲城市東長沼449-7,,35.645870,139.501532,(042)379-0135,,,,,1315120407,月火木金土,09:00,17:00,水曜・日曜・祝日・土曜午後は休診,,眼科,0,,
130001,1322500015,東京都,稲城市,立花こどもクリニック,タチバナコドモクリニック,無床診療所,東京都稲城市東長沼3106-3,オークプラザ２階,35.637336,139.499302,(042)378-7277,,,,,1315120373,月火水金土,09:00,18:30,木曜・日曜・祝日・土曜午後は休診,,小児科,0,,
130001,1322500016,東京都,稲城市,出川眼科,デガワガンカ,無床診療所,東京都稲城市東長沼800-1,,35.643562,139.509292,(042)401-5624,,,,,1315120910,月火水木金土,09:00,18:00,日曜・祝日・土曜午後は休診,,眼科,0,http://www.degawa-ganka.com/,
130001,1322500017,東京都,稲城市,なかお内科クリニック,ナカオナイカクリニック,無床診療所,東京都稲城市東長沼3108,京王リトナード稲城３階,35.636704,139.500154,(042)401-5836,,,,,1315121017,月火木金土,09:00,19:00,水曜・日曜・祝日・土曜午後は休診,,内科;消化器内科,0,https://www.nakao-naika-cl.com/,
130001,1322500018,東京都,稲城市,なかざわ整形外科,ナカザワセイケイゲカ,無床診療所,東京都稲城市東長沼1989-1,,35.639431,139.503618,(042)370-2311,,,1013405000703,医療法人社団ケアクリーク,1315121033,月火水金土,09:00,18:00,木曜・日曜・祝日・土曜午後は休診,,整形外科;リウマチ科;リハビリテーション科,0,http://care-creek.com/nakazawa/,
130001,1322500019,東京都,稲城市,菜の花クリニック,ナノハナクリニック,無床診療所,東京都稲城市東長沼450-30,,35.645801,139.502126,(042)313-9272,,,,,1315120803,月火木金土,09:00,17:00,水曜・日曜・祝日・土曜午後は休診,,消化器内科;肛門外科;外科;内科,0,http://nanohanaclinic.life.coocan.jp/,
130001,1322500020,東京都,稲城市,東長沼クリニック,ヒガシナガヌマクリニック,無床診療所,東京都稲城市東長沼1726-16,,35.638868,139.508843,(042)379-4851,,,,,1315120563,月火水木金土,09:00,18:30,日曜・祝日・火曜午後・水曜午後・土曜午後は休診,,内科;消化器内科;小児科;外科,0,,
130001,1322500021,東京都,稲城市,松本医院,マツモトイイン,無床診療所,東京都稲城市東長沼799,,35.643795,139.509376,(042)377-6027,,,,,1315120720,月火水木金土,09:00,20:30,日曜・祝日・火曜午後・木曜午後・土曜午後は休診,,内科;小児科,0,,
130001,1322500022,東京都,稲城市,いしがき医院,イシガキイイン,無床診療所,東京都稲城市大丸3051-1,,35.647088,139.489000,(042)401-3733,,,3013405000916,医療法人社団いしがき医院,1315120878,月火水木金土,09:00,19:00,日曜・祝日・土曜午後は休診,,小児科;アレルギー科,0,http://www.ishigaki-cl.com/,
130001,1322500023,東京都,稲城市,稲城市立病院,イナギシリツビョウイン,病院,東京都稲城市大丸1171,,35.646885,139.485671,(042)377-0931,,,2000020132250,稲城市,1315114483,月火水木金,08:00,11:00,土曜・日曜・祝日は休診,,内科;外科;整形外科;脳神経外科;眼科;人工透析;小児科;産婦人科;耳鼻咽喉科;皮膚科;必尿器科;リハビリテーション科;放射線科;麻酔科;救急科,290,http://www.hospital.inagi.tokyo.jp/,
130001,1322500024,東京都,稲城市,稲城診療所,イナギシンリョウジョ,無床診療所,東京都稲城市大丸118,,35.643626,139.500602,(042)377-6128,,,2013405000314,医療法人社団聖章会,1315120555,月火水金土,09:00,18:00,木曜・日曜・祝日・土曜午後は休診,,内科;小児科;外科;皮膚科,0,,
130001,1322500025,東京都,稲城市,稲城癒しの森内科クリニック,イナギイヤシノモリナイカクリニック,無床診療所,東京都稲城市大丸936-1,,35.648216,139.492371,(042)379-8880,,,,,1315120928,火水木金土,09:00,18:30,月曜・日曜・祝日は休診,,内科;循環器内科;呼吸器内科;糖尿病内科,0,http://www.healing-forest-cl.com/,
130001,1322500026,東京都,稲城市,向陽台クリニック,コウヨウダイクリニック,無床診療所,東京都稲城市向陽台5-5-3,,35.638867,139.486494,(042)378-6677,,,,,1315120357,月火木金土,09:00,18:00,水曜・日曜・祝日・月曜午後・火曜午後・木曜午後・金曜午後・土曜午後は休診,,内科;消化器内科;皮膚科,0,,
130001,1322500027,東京都,稲城市,竹田耳鼻咽喉科気管食道科医院,タケダジビインコウカキカンショクドウカイイン,無床診療所,東京都稲城市向陽台5-4-2,,35.639606,139.486892,(042)377-3087,,,7013405000689,医療法人社団新晴会,1315120647,月火水金土,09:00,18:30,木曜・日曜・祝日・土曜午後は休診,,耳鼻咽喉科;アレルギー科;気管食道科,0,,
130001,1322500028,東京都,稲城市,いなぎ駅前クリニック,イナギエキマエクリニック,無床診療所,東京都稲城市百村1607,,35.636386,139.499334,(042)378-1570,,,,,1315121009,月火木金土日,09:00,18:30,水曜・日曜午後・祝日は休診,,内科;消化器内科;小児科,0,https://inagi-ekimae-cl.com/,
130001,1322500029,東京都,稲城市,菊池医院,キクチイイン,無床診療所,東京都稲城市百村103-1,,35.638703,139.497874,(042)378-3333,,,,,1315120191,月火水金土,09:00,12:00,木曜・日曜・祝日・月曜午後・火曜午後・水曜午後・金曜午後・土曜午後,,内科;神経内科;眼科,0,,
130001,1322500030,東京都,稲城市,栄耳鼻咽喉科クリニック,サカエジビインコウカクリニック,無床診療所,東京都稲城市百村1624-1,稲城パークホームズ１階,35.635446,139.500939,(042)370-7363,,,6013405000608,医療法人社団栄耳鼻咽喉科クリニック,1315120613,月火木金土,09:00,18:30,水曜・日曜・祝日・土曜午後は休診,,耳鼻咽喉科,0,,
130001,1322500031,東京都,稲城市,稲城わかばクリニック,イナギワカバクリニック,有床診療所,東京都稲城市百村1604-7,,35.637624,139.497775,(042)370-0530,,(042)370-0531,9012405002470,医療法人社団秀巧会,1315120936,月火水木金土,09:00,19:00,日曜・祝日は休診,,内科;循環器内科;呼吸器内科;小児科;糖尿病内科;アレルギー科,19,http://inagi-wakaba-cl.jp/,
130001,1322500032,東京都,稲城市,長峰クリニック,ナガミネクリニック,無床診療所,東京都稲城市長峰2-2-2,,35.631013,139.485026,(042)350-7171,,,,,1315120852,月火水木金土,09:00,18:00,日曜・祝日・水曜午後・土曜午後は休診,,内科;小児科;アレルギー科,0,https://nagamine-cl.webnode.jp/,
130001,1322500033,東京都,稲城市,稲城台病院,イナギダイビョウイン,病院,東京都稲城市若葉台3-7-1,,35.624582,139.464537,(042)331-5531,,(042)331-6287,3012405002212,特定医療法人社団研精会,1315119615,月火水木金土,09:00,17:00,日曜・祝日・土曜午後は休診,,精神科;内科,"療養79
精神302",https://inagidai-hp.com/,
130001,1322500034,東京都,稲城市,デンマークイン若葉台,デンマークインワカバダイ,病院,東京都稲城市若葉台3-7-1,,35.624358,139.464823,(042)331-3030,,(042)331-3185,3012405002212,特定医療法人社団研精会,,,09:00,17:00,外来なし,,内科,192（うち認知症専門棟40),https://hilltop-roman.jp/,
130001,1322500035,東京都,稲城市,ベリエの丘クリニック,ベリエノオカクリニック,有床診療所,東京都稲城市若葉台2-14-2,,35.620701,139.475945,(042)350-7350,,,2012305001348,医療法人社団ルクール,1315120886,月水木金土,09:30,15:30,火曜・金曜午後・日曜・祝日は休診,,産婦人科,16,https://belier-cl.jp/,
130001,1322500036,東京都,稲城市,もりこどもクリニック,モリコドモクリニック,無床診療所,東京都稲城市若葉台4-18-4,,35.627432,139.468624,(042)350-6977,,,,,1315120548,月火水木金土,09:00,18:00,木曜午後・日曜・祝日・土曜午後は休診,,小児科,0,,
130001,1322500037,東京都,稲城市,若葉台眼科,ワカバダイガンカ,無床診療所,東京都稲城市若葉台2-4-4,若葉台駅前ＫＭビル３階,35.620272,139.471617,(042)350-8077,,,7013405000846,医療法人社団ひいらぎ会,1315120845,月火木金土,08:30,15:00,水曜・日曜・祝日・土曜午後は休診,,眼科,0,,
130001,1322500038,東京都,稲城市,若葉台クリニック,ワカバダイクリニック,無床診療所,東京都稲城市若葉台2-4-4,若葉台駅前ＫＭビル２階,35.620157,139.471606,(042)350-6075,,,,,1315120662,月火水木金土,09:00,18:30,日曜・祝日・土曜午後・水曜午後は休診,,内科;小児科;消化器内科,0,http://www.wakabadaiclinic.com/,
130001,1322500039,東京都,稲城市,稲城市立病院附属坂浜診療所,イナギシリツビョウインフゾクサカハマシンリョウジョ,無床診療所,東京都稲城市坂浜2936,,35.627050,139.485424,(042)331-3423,,(042)331-3883,,,1315120027,月火水木金,09:00,16:00,土曜・日曜・祝日は休診,,内科;外科,0,,
130001,1322500040,東京都,稲城市,あいクリニック平尾,アイクリニックヒラオ,無床診療所,東京都稲城市平尾3-7-4,コーシャハイム平尾１階,35.610807,139.492934,(042)350-5062,,(042)350-5063,2011305000153,社会医療法人河北医療財団,1315120993,月火水木金,08:30,17:00,土曜・日曜・祝日は休診,,内科（訪問診療）,0,https://kawakita.or.jp/aisafetynet/aiclinic-hirao/,
130001,1322500041,東京都,稲城市,上野眼科,ウエノガンカ,無床診療所,東京都稲城市平尾1-49-6,山王ビル１階,35.610926,139.494255,(042)331-5356,,,5013405000113,医療法人社団聖誠会,1315120498,月火水金土,08:30,18:00,木曜・日曜・祝日・土曜午後は休診,,眼科,0,,
130001,1322500042,東京都,稲城市,簡野クリニック,カンノクリニック,無床診療所,東京都稲城市平尾1-50-20,,35.610849,139.494858,(042)331-8570,,,6013405000120,医療法人社団簡野クリニック,1315120530,月火水金土,09:00,18:30,木曜・日曜・祝日・土曜午後は休診,,内科;小児科;外科;必尿器科,0,,
130001,1322500043,東京都,稲城市,高クリニック,コウクリニック,無床診療所,東京都稲城市平尾1-54-20,,35.610033,139.496235,(042)331-8201,,,,,1315120282,月火水金土,09:00,18:00,木曜・日曜・祝日・土曜午後は休診,,内科;小児科,0,,
130001,1322500044,東京都,稲城市,新百合ヶ丘あゆみクリニック,シンユリガオカアユミクリニック,無床診療所,東京都稲城市平尾1-24-7,プレミアリンジュＲ－３,35.612480,139.488889,(042)350-5575,,,6012405002713,医療法人社団壮仁会,1315120894,月火水木金,00:00,23:59,土曜・日曜は休診、外来は紹介制及び完全予約制,,内科（在宅診療）,0,https://www.sojinkai.com/,外来は紹介制及び完全予約制
130001,1322500045,東京都,稲城市,佐藤整形外科,サトウセイケイゲカ,無床診療所,東京都稲城市東長沼1989-1,,35.639426,139.503621,(042)377-3531,,,,,1315120142,月火水木金土,09:00,18:00,日曜・祝日は休診、土曜は午後休診,,整形外科,0,,
130001,1322500046,東京都,稲城市,上野皮フ科クリニック,ウエノヒフカクリニック,無床診療所,東京都稲城市向陽台6-2-1,１階,35.641080,139.492423,(042)377-1120,,,5013405000113,医療法人社団聖誠会,1315120506,月火水金土,09:00,17:00,木曜、日曜、祝日は休診,,皮膚科,0,,
130001,1322500047,東京都,稲城市,若葉台耳鼻咽喉科,ワカバダイジビインコウカ,無床診療所,東京都稲城市若葉台2-4-3,302 ,35.619874,139.471951,(042)350-2087,,,7013405000689,医療法人社団新晴会,1315120654,月火木金土,09:00,18:30,水曜、日曜、祝日は休診,,耳鼻咽喉科,0,,
130001,1322500048,東京都,稲城市,慶友若葉台整形外科,ケイユウワカバダイセイケイゲカ,無床診療所,東京都稲城市若葉台2-4-4,若葉台駅前KMビル２階,35.620256,139.471473,(042)350-5355,,,1013405000703,医療法人社団ケアクリーク,1315120696,月火水木金土,09:00,18:00,土曜午後、日曜、祝日は休診,,整形外科;リハビリテーション科;リウマチ科,0,http://care-creek.com/wakabadai/,
130001,1322500049,東京都,稲城市,安藤耳鼻咽喉科医院,アンドウジビインコウカイイン,無床診療所,東京都稲城市東長沼1988-11,,35.639503,139.503052,(042)377-3212,,,,,1315120779,月火水金土,10:00,18:00,火曜午前、木曜、金曜午前、日曜、祝日は休診,,耳鼻咽喉科,0,,
130001,1322500050,東京都,稲城市,若葉台ひふ科,ワカバダイヒフカ,無床診療所,東京都稲城市若葉台2-4-4,若葉台駅前KMビル３階,35.620355,139.471510,(042)350-3775,,(042)350-3776,,,1315120829,月火水木金土,09:30,19:00,土曜午後、日曜、祝日は休診,,皮膚科;アレルギー科,0,http://www.wakabadai-hifu.jp/,
130001,1322500051,東京都,稲城市,耳鼻咽喉科青藍クリニック,ジビインコウカセイランクリニック,無床診療所,東京都稲城市矢野口213,フレグラントⅡ　１階,35.641176,139.519296,(042)370-8733,,,7013405000689,医療法人社団新晴会,1315120944,月火木金土,09:30,18:30,水曜、土曜午後、日曜、祝日は休診,,耳鼻咽喉科,0,,
130001,1322500052,東京都,稲城市,稲城長沼トミー皮フ科,イナギナガヌマトミーヒフカ,無床診療所,東京都稲城市東長沼535,ガレリージョン102号,35.644510,139.503003,(042)370-8808,,,,,1315120985,火水木金土,09:00,19:00,月曜、日曜、祝日は休診,,皮膚科,0,https://www.tomy-hifuka.com/,
130001,1322500053,東京都,稲城市,東京むさしのクリニック,トウキョウムサシノクリニック,無床診療所,東京都稲城市矢野口636,大和ビル201号,35.639272,139.519536,(042)401-5200,,,,,1315121066,火水木金土,09:00,18:00,月曜、日曜、祝日は休診,,内科,0,,
