都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
132250,1322500011,東京都,稲城市,高勝寺,コウショウジ,,0702a,東京都稲城市坂浜551,,35.62595,139.48736,日月火水木金土,,,,無料,無料,応安元年（1368年）に創建されたといわれ、地蔵堂内には東京都指定文化財の観世音菩薩立像が安置されています。,,"京王相模原線稲城駅下車徒歩20分
京王相模原線稲城駅からバス新百合ヶ丘行き「駒沢学園入口」下車徒歩4分",,,,(042)331-1303,,,,,
132250,1322500012,東京都,稲城市,宝蔵院,ホウゾウイン,,0702a,東京都稲城市坂浜2995,,35.62860,139.48597,日月火水木金土,,,,無料,無料,明治6年から明治42年まで寺子屋を開設し、教育界に大きな貢献をした寺院として知られています。,,"京王相模原線若葉台駅下車徒歩20分
iバス「坂浜診療所」下車徒歩約3分",,,,(042)331-0917,,,,,
132250,1322500013,東京都,稲城市,但馬稲荷神社,タジマイナリジンジャ,,0701a,東京都稲城市大丸233,,35.64700,139.49845,日月火水木金土,,,,無料,無料,江戸時代末期に繁栄を極め、文久2年（1862年）に建立されたといわれます。,,"JR南武線稲城長沼駅下車徒歩6分
JR南武線南多摩駅下車徒歩10分",,,,,,,,,
132250,1322500014,東京都,稲城市,郷土資料室,キョウドシリョウシツ,,0803a,東京都稲城市平尾1-9-1,複合施設ふれんど平尾２階,35.61386,139.49234,火水木金土日,09:00,17:00,毎週月曜日と年末年始は休館,無料,無料,複合施設ふれんど平尾の2階にあり、稲城市の歴史、文化、自然等にまつわる貴重な資料が展示されています。,,"京王相模原線稲城駅からバス新百合ヶ丘行き「台原」下車徒歩5分
iバス「文化センター・ふれんど平尾」下車徒歩1分",,,ふれんど平尾１階受付,(042)350-1131,,,,https://www.city.inagi.tokyo.jp/,
132250,1322500015,東京都,稲城市,大丸城跡,オオマルジョウアト,,0608a,東京都稲城市大丸1125-7,,35.64738,139.48749,日月火水木金土,,,,無料,無料,多摩ニュータウンの造成工事に先立ち、昭和55年から昭和61年にかけて三次の発掘調査が行われました。この調査により、縄文時代から江戸時代にかけての大規模な複合遺跡であることが判明しました。,,JR南武線南多摩駅下車徒歩10分,,,,,,,,,
132250,1322500016,東京都,稲城市,長沼城・報恩寺跡地,ナガヌマジョウ・ホウオンジアトチ,,0608a,東京都稲城市東長沼3102-4,,35.63831,139.49922,日月火水木金土,,,,無料,無料,源頼朝に仕えた武将長沼五郎宗政一族の館のあった場所とされ、また、江戸時代中期に建立され、明治時代の末に廃寺となった報恩寺の跡地でもあります。,,京王相模原線稲城駅下車徒歩約15分,,,,,,,,,
132250,1322500017,東京都,稲城市,平尾の古民家,ヒラオノコミンカ,,0622a,東京都稲城市平尾2-45-19,,35.60774,139.49527,日月火水木金土,,,,無料,無料,江戸時代に建てられた古民家です。この家の方は「名主」という平尾の代表を務めていました。,,"京王相模原線稲城駅からバス新百合ヶ丘駅行き「平尾」下車徒歩5分
小田急線新百合ヶ丘駅からバス稲城駅行き「平尾」下車徒歩5分",,,教育部生涯学習課,(042)377-2121,,,,,
132250,1322500018,東京都,稲城市,直心庵,ジキシンアン,,0702a,東京都稲城市大丸839,,35.64623,139.49233,日月火水木金土,,,,無料,無料,新宿区天龍寺の末寺であり、宝永2年（1705年）3月に開基された曹洞宗のお寺です。,,JR南武線南多摩駅下車徒歩約15分,,,,(0422)31-1440,,,,,
132250,1322500019,東京都,稲城市,円照寺,エンショウジ,,0702a,東京都稲城市大丸851,,35.64680,139.49183,日月火水木金土,,,,無料,無料,川崎市多摩区菅の寿福寺の末寺です。稲城市の昔話「舌を抜かれたお獅子」の舞台にもなっています。,,JR南武線南多摩駅下車徒歩約10分,,,,(042)377-7640,,,,,
132250,1322500020,東京都,稲城市,八坂神社,ヤサカジンジャ,,0701a,東京都稲城市東長沼2008,,35.63962,139.50384,日月火水木金土,,,,無料,無料,京都市内にある八坂神社の末寺です。,,"JR南武線稲城長沼駅下車徒歩約15分
京王相模原線稲城駅下車徒歩約10分",,,,,,,,,
132250,1322500021,東京都,稲城市,奚義塾跡地,ケイギジュクアトチ,,0603a,東京都稲城市東長沼2010-10,,35.63950,139.50416,日月火水木金土,,,,無料,無料,奚義塾を創設した漢学者である窪全亮の頌徳碑が建てられています。,,"JR南武線稲城長沼駅下車徒歩約15分
京王相模原線稲城駅下車徒歩約10分",,,,,,,,,
132250,1322500022,東京都,稲城市,普寛教会,フカンキョウカイ,,0703a,東京都稲城市百村201,,35.63560,139.49390,日月火水木金土,,,,無料,無料,明治初期に創設された教会で、明治12年に木食普寛を名乗って修験者となり、諸国を回って祈祷したのが始めとされています。,,京王相模原線稲城駅下車徒歩約10分,,,,,,,,,
132250,1322500023,東京都,稲城市,竪神社,タテジンジャ,,0701a,東京都稲城市百村2129-32,,35.63533,139.48771,日月火水木金土,,,,無料,無料,神社が位置する百村の竪台は、古より度々落雷があったことから、大雷神を祀ったと言われています。,,京王相模原線稲城駅下車徒歩約20分,,,,,,,,,
